filename,has_shell,has_socket,num_strings,exec_size,entropy,label
gcov-dump,0,0,2875,356432,6.2058,0
gcov-dump-13,0,0,2875,356432,6.2058,0
gcov-tool,0,0,2672,311352,6.20202,0
gcov-tool-13,0,0,2672,311352,6.20202,0
gdbus,0,0,384,51592,5.05502,0
gdk-pixbuf-csource,0,0,106,14672,3.38624,0
gdk-pixbuf-pixdata,0,0,84,14656,2.66701,0
gdk-pixbuf-thumbnailer,0,0,105,18832,2.69862,0
gencat,0,0,190,27072,4.78805,0
geqn,0,0,1684,192968,5.36262,0
getconf,0,1,390,26992,3.70358,0
getent,0,0,292,39648,3.87785,0
getkeycodes,0,0,98,14712,3.24801,0
getopt,0,0,165,22912,3.59039,0
gettext,0,0,186,35200,4.09203,0
gettext.sh,1,0,111,5188,4.96929,0
ginstall-info,0,0,340,48376,5.12479,0
gio,0,0,817,104856,5.06266,0
gio-querymodules,0,0,101,18744,2.77426,0
git,1,1,29063,4066232,6.41462,0
git-receive-pack,1,1,29063,4066232,6.41462,0
git-shell,1,1,4317,639808,6.26927,0
git-upload-archive,1,1,29063,4066232,6.41462,0
git-upload-pack,1,1,29063,4066232,6.41462,0
glib-compile-schemas,0,0,482,55608,5.12939,0
gold,0,0,15382,3218592,6.14443,0
gp-archive,0,0,914,162336,5.56581,0
gp-collect-app,0,0,1070,178552,5.70831,0
gp-display-html,0,0,13965,641937,4.51812,0
gp-display-src,0,0,868,153960,5.60411,0
gp-display-text,0,0,1911,297336,5.87127,0
gpasswd,0,0,556,76248,4.94918,0
gpg,1,1,8358,1147800,6.37857,0
gpg-agent,0,1,2840,366096,6.14598,0
gpg-connect-agent,0,1,661,89400,5.46303,0
gpg-wks-client,0,1,1217,142712,6.0377,0
gpgconf,0,1,993,118128,5.52908,0
gpgparsemail,0,0,238,35200,4.29886,0
gpgsm,0,1,4135,513400,6.18454,0
gpgsplit,0,0,190,27256,4.01269,0
gpgtar,0,1,541,69456,5.6123,0
gpgv,0,1,2421,310416,6.27382,0
gpic,0,0,933,200768,5.69668,0
gprof,0,0,804,102184,5.89291,0
gprofng,0,0,813,141672,5.66128,0
grep,0,1,911,186824,5.98769,0
gresource,0,0,191,22840,4.39745,0
groff,1,0,819,96776,4.90374,0
grog,0,0,568,19195,5.07794,0
grops,0,0,1471,166456,5.63851,0
grotty,0,0,1099,121352,5.52198,0
groups,0,0,204,35336,4.53815,0
growpart,1,0,832,29895,5.37038,0
gsettings,0,0,266,31032,4.58731,0
gtbl,0,0,1039,137704,5.81676,0
gtk-builder-tool,0,0,278,35568,4.08429,0
gtk-encode-symbolic-svg,0,0,143,18856,3.30043,0
gtk-launch,0,0,111,18904,2.80786,0
gtk-query-settings,0,0,73,14648,2.25174,0
gtk-update-icon-cache,0,0,267,39496,4.39673,0
gunzip,1,0,44,2346,4.90702,0
gzexe,1,0,207,6447,5.14052,0
gzip,0,0,460,93424,5.77358,0
h2ph,0,0,815,29227,4.93715,0
h2xs,0,0,1615,60934,5.1755,0
hardlink,0,1,377,47600,4.9815,0
hd,0,0,348,47504,5.02499,0
head,0,0,255,43528,5.14373,0
helpztags,0,0,69,2514,5.22609,0
hexdump,0,0,348,47504,5.02499,0
hostid,0,0,179,35336,4.08055,0
hostname,0,0,154,22760,3.31365,0
hostnamectl,0,0,269,31184,4.4816,0
hwe-support-status,0,0,321,11511,4.58788,0
i386,1,0,208,27288,3.74007,0
iconv,0,0,608,68072,5.50553,0
id,0,0,266,39432,5.23741,0
info,0,0,1624,247536,5.88892,0
infobrowser,0,0,1624,247536,5.88892,0
infocmp,0,0,451,67968,5.08517,0
infotocap,0,0,715,92584,5.48228,0
install,0,0,817,145944,5.91633,0
install-info,0,0,340,48376,5.12479,0
instmodsh,0,0,143,4373,4.68761,0
ionice,0,0,141,18816,3.58796,0
ip,0,1,6347,772856,6.17968,0
ipcmk,0,0,154,22984,3.47903,0
ipcrm,0,0,150,18816,4.08165,0
ipcs,0,0,356,39296,4.88721,0
ischroot,0,0,85,14824,2.52862,0
join,0,0,296,51760,5.01288,0
journalctl,0,0,665,80800,5.38372,0
json-patch-jsondiff,0,0,30,1004,4.88409,0
json_pp,0,0,157,4992,5.01359,0
jsondiff,0,0,30,1004,4.88409,0
jsonpatch,0,0,86,3859,4.50131,0
jsonpointer,0,0,50,1838,4.63949,0
jsonschema,0,0,8,213,5.05012,0
kbd_mode,0,0,110,15016,3.69772,0
kbdinfo,0,0,122,18808,3.23745,0
kbxutil,0,1,464,64336,5.22882,0
keep-one-running,1,0,93,3592,5.18209,0
kernel-install,0,0,490,55984,5.06327,0
kill,0,0,151,22912,3.05899,0
killall,0,0,232,32096,4.18805,0
kmod,0,0,1375,174328,6.04133,0
landscape-broker,0,0,7,214,4.71067,0
landscape-client,0,0,15,529,4.77843,0
landscape-config,0,0,11,330,4.76947,0
landscape-manager,0,0,7,215,4.69221,0
landscape-monitor,0,0,7,215,4.68215,0
landscape-package-changer,0,0,8,253,4.79225,0
landscape-package-reporter,0,0,8,254,4.78011,0
landscape-release-upgrader,0,0,8,261,4.80063,0
landscape-sysinfo,0,0,20,646,4.58354,0
last,0,0,292,35200,4.93525,0
lastb,0,0,292,35200,4.93525,0
lastlog,0,0,265,28456,4.20653,0
lcf,1,0,206,7784,4.81493,0
ld,0,0,22364,1359128,6.0445,0
ld.bfd,0,0,22364,1359128,6.0445,0
ld.gold,0,0,15382,3218592,6.14443,0
ld.so,0,0,1858,236616,6.16717,0
ldd,0,0,169,5382,5.04257,0
less,0,0,1432,194952,5.9297,0
lessecho,0,0,67,14656,2.5806,0
lessfile,1,0,302,9047,5.14968,0
lesskey,0,0,180,24272,3.2887,0
lesspipe,1,0,302,9047,5.14968,0
lexgrog,0,0,375,101896,5.51442,0
libnetcfg,0,0,431,15778,5.10115,0
link,0,0,181,35336,4.17203,0
linux32,1,0,208,27288,3.74007,0
linux64,1,0,208,27288,3.74007,0
ln,0,0,367,55816,5.63877,0
lnstat,0,0,153,23200,4.03862,0
loadkeys,0,0,1892,207768,4.5429,0
loadunimap,0,0,234,35288,4.07981,0
locale,0,0,489,50824,4.57715,0
locale-check,0,0,69,14488,1.92325,0
localectl,0,0,229,27080,4.19682,0
localedef,0,0,1735,326752,5.99085,0
logger,0,1,326,39904,4.76677,0
login,1,0,429,53056,4.89716,0
loginctl,0,0,498,68176,4.86869,0
logname,0,0,180,35336,4.09613,0
look,0,0,122,18824,3.19475,0
ls,0,1,1113,142312,5.91969,0
lsattr,0,0,102,14656,3.15701,0
lsb_release,1,0,72,2651,5.20514,0
lsblk,0,0,1408,149896,5.38138,0
lscpu,0,1,1039,113032,5.45099,0
lshw,0,1,11734,980168,6.15064,0
lsipc,0,0,430,51584,4.95058,0
lslocks,0,0,241,31504,4.17018,0
lslogins,0,0,425,51584,4.81215,0
lsmem,0,0,322,39296,4.83102,0
lsmod,0,0,1375,174328,6.04133,0
lsns,0,1,327,43400,4.79684,0
lsof,0,1,1292,175784,5.97318,0
lspgpot,1,0,21,1081,5.10308,0
lto-dump,0,1,254248,29352592,6.53046,0
